MALE ID,FOOD TREATMENT,N TRIAL,PREY WEIGHT BEFORE TRIAL (mg),Gift weight (mg),SILK WEIGHT (mg),PREY WEIGHT AFTER (gift - silk weight),PREY WEIGHT LOSS,MALE MASS BEFORE TRIAL (mg) ,MALE CEPH WIDTH (mm),MALE R BODY INDEX,LATENCY TO WRAP (sec),MALE MASS AFTER TRIAL (mg),MALE WEIGHT difference (bef-after),TOT WRAPPING DURATION (sec)
101,WF,1,68,57.182,0.111,57.071,10.929,135,4.58,10.7705242498376,101,139,-4,169
103,LF,2,33,34.297,0.044,34.253,-1.253,64,3.023,13.0951218116014,760,60,4,187
106,LF,1,10,9.94,,,,61,3.413,-8.27134771253978,1365,64,-3,100
109,LF,1,42,31.072,0.043,31.029,10.971,68,3.57,-8.66502903379666,1780,73,-5,150
11,WF,1,,13.456,0.084,13.372,,51,3.33,-14.3625862497098,254,50,1,249
113,WF,1,31,20.189,0.185,20.004,10.996,144,4.79,9.88088681376155,107,144,0,576
114,WF,3,23,,,,,94,4.06,-5.74084971797407,1602,,,25
115,WF,2,13,11.27,0.094,11.176,1.824,95,4.11,-7.09552529799223,612,100,-5,351
118,WF,1,22,17.352,0.14,17.212,4.788,90,3.666,8.81399385256859,1795,89,1,529
118a,WF,1,20,4.52,0.067,4.453,15.547,82,3.666,0.813993852568586,685,83,-1,208
119,WF,3,14,9.115,0.123,8.992,5.008,74,3.52,-0.310353453778561,460,73,1,456
120,LF,2,17,15.986,0.143,15.843,1.157,113,4.33,0.54390214992813,35,117,-4,331
121,LF,2,,13.875,0.008,13.867,,95,3.82,6.56159306611281,5,,,65
17,WF,1,35,15.852,0.206,15.646,19.354,111,4.21,4.19512354197158,140,115,-4,165
21,WF,3,37,32.221,0.064,32.157,4.843,80,3.22,19.8177000263301,170,74,6,202
27,WF,1,21,18.911,0.145,18.766,2.234,122,4.26,12.8404479619535,19,116,6,240
29,WF,1,5,3.14,0.034,3.106,1.894,79,3.55,3.2768411982106,242,74,5,173
35,WF,1,,17,0.06,16.94,,59,3.51,-14.8394183377749,623,58,1,343
36,LF,1,18,17.846,0.067,17.779,0.221,81,4.14,-22.5083306460031,35,85,-4,291
38,LF,2,18,7.756,0.004,7.752,10.248,65,3.68,-16.8453153098365,4480,68,-3,40
40,LF,1,,15.341,0.02,15.321,,64,3.73,-20.1999908898546,1980,62,2,220
43,LF,1,15,7.572,,,,76,3.74,-8.67092600585823,60,78,-2,221
5,WF,1,29,22.929,0.116,22.813,6.187,74,3.68,-7.84531530983651,574,73,1,187
53,WF,1,,11.055,0.029,11.026,,53,3.42,-16.6010022937423,119,,,511
57,WF,1,36,24.544,0.416,24.128,11.872,98,3.61,19.4512305021889,126,102,-4,412
59,WF,2,19,19.354,0.046,19.308,-0.308,83,3.556,6.99428012860841,225,81,2,171
62,LF,1,18,15.738,0.033,15.705,2.295,48,3.173,-9.9689049284529,575,50,-2,377
67,WF,2,27,27.422,0.033,27.389,-0.388999999999999,104,3.96,8.96850144206212,527,102,2,121
68,WF,1,12,10.296,0.017,10.279,1.721,75,3.92,-18.1477580939234,281,76,-1,63
72,WF,1,69,57.89,,,,100,3.86,9.67785260209834,2370,110,-10,163
85,WF,1,75,50.982,0.161,50.821,24.179,134,4.58,9.77052424983759,1482,143,-9,120
88,WF,2,,8.336,0.01,8.326,,131,4.06,31.2591502820259,3300,,,
94,WF,1,,19.052,0.255,18.797,,109,4.26,-0.159552038046513,53,109,0,278
96,WF,1,88,50.222,0.215,50.007,37.993,130,4.19,24.1369937739788,30,135,-5,471
